"x","y","species","presence"
-53.250139396,-26.250139144,"myrcia_aethusa",1
-52.750139398,-26.250139144,"myrcia_aethusa",1
-52.2501394,-26.250139144,"myrcia_aethusa",1
-51.750139402,-26.250139144,"myrcia_aethusa",1
-51.250139404,-26.250139144,"myrcia_aethusa",1
-50.750139406,-26.250139144,"myrcia_aethusa",1
-50.250139408,-26.250139144,"myrcia_aethusa",1
-49.75013941,-26.250139144,"myrcia_aethusa",1
-49.250139412,-26.250139144,"myrcia_aethusa",1
-48.750139414,-26.250139144,"myrcia_aethusa",1
-54.75013939,-26.750139142,"myrcia_aethusa",1
-54.250139392,-26.750139142,"myrcia_aethusa",1
-53.750139394,-26.750139142,"myrcia_aethusa",1
-53.250139396,-26.750139142,"myrcia_aethusa",1
-52.750139398,-26.750139142,"myrcia_aethusa",1
-52.2501394,-26.750139142,"myrcia_aethusa",1
-51.750139402,-26.750139142,"myrcia_aethusa",1
-51.250139404,-26.750139142,"myrcia_aethusa",1
-50.750139406,-26.750139142,"myrcia_aethusa",1
-50.250139408,-26.750139142,"myrcia_aethusa",1
-49.75013941,-26.750139142,"myrcia_aethusa",1
-49.250139412,-26.750139142,"myrcia_aethusa",1
-48.750139414,-26.750139142,"myrcia_aethusa",1
-54.75013939,-27.25013914,"myrcia_aethusa",1
-54.250139392,-27.25013914,"myrcia_aethusa",1
-53.750139394,-27.25013914,"myrcia_aethusa",1
-53.250139396,-27.25013914,"myrcia_aethusa",1
-52.750139398,-27.25013914,"myrcia_aethusa",1
-52.2501394,-27.25013914,"myrcia_aethusa",1
-51.750139402,-27.25013914,"myrcia_aethusa",1
-51.250139404,-27.25013914,"myrcia_aethusa",1
-50.750139406,-27.25013914,"myrcia_aethusa",1
-50.250139408,-27.25013914,"myrcia_aethusa",1
-49.75013941,-27.25013914,"myrcia_aethusa",1
-49.250139412,-27.25013914,"myrcia_aethusa",1
-48.750139414,-27.25013914,"myrcia_aethusa",1
-54.250139392,-27.750139138,"myrcia_aethusa",1
-53.750139394,-27.750139138,"myrcia_aethusa",1
-53.250139396,-27.750139138,"myrcia_aethusa",1
-52.750139398,-27.750139138,"myrcia_aethusa",1
-52.2501394,-27.750139138,"myrcia_aethusa",1
-51.750139402,-27.750139138,"myrcia_aethusa",1
-51.250139404,-27.750139138,"myrcia_aethusa",1
-50.750139406,-27.750139138,"myrcia_aethusa",1
-50.250139408,-27.750139138,"myrcia_aethusa",1
-49.75013941,-27.750139138,"myrcia_aethusa",1
-49.250139412,-27.750139138,"myrcia_aethusa",1
-48.750139414,-27.750139138,"myrcia_aethusa",1
-48.250139416,-27.750139138,"myrcia_aethusa",1
-54.250139392,-28.250139136,"myrcia_aethusa",1
-53.750139394,-28.250139136,"myrcia_aethusa",1
-53.250139396,-28.250139136,"myrcia_aethusa",1
-52.750139398,-28.250139136,"myrcia_aethusa",1
-52.2501394,-28.250139136,"myrcia_aethusa",1
-51.750139402,-28.250139136,"myrcia_aethusa",1
-51.250139404,-28.250139136,"myrcia_aethusa",1
-50.750139406,-28.250139136,"myrcia_aethusa",1
-50.250139408,-28.250139136,"myrcia_aethusa",1
-49.75013941,-28.250139136,"myrcia_aethusa",1
-49.250139412,-28.250139136,"myrcia_aethusa",1
-48.750139414,-28.250139136,"myrcia_aethusa",1
-54.250139392,-28.750139134,"myrcia_aethusa",1
-53.750139394,-28.750139134,"myrcia_aethusa",1
-53.250139396,-28.750139134,"myrcia_aethusa",1
-52.750139398,-28.750139134,"myrcia_aethusa",1
-52.2501394,-28.750139134,"myrcia_aethusa",1
-51.750139402,-28.750139134,"myrcia_aethusa",1
-51.250139404,-28.750139134,"myrcia_aethusa",1
-50.750139406,-28.750139134,"myrcia_aethusa",1
-50.250139408,-28.750139134,"myrcia_aethusa",1
-49.75013941,-28.750139134,"myrcia_aethusa",1
-49.250139412,-28.750139134,"myrcia_aethusa",1
-48.750139414,-28.750139134,"myrcia_aethusa",1
-54.250139392,-29.250139132,"myrcia_aethusa",1
-53.750139394,-29.250139132,"myrcia_aethusa",1
-52.750139398,-29.250139132,"myrcia_aethusa",1
-52.2501394,-29.250139132,"myrcia_aethusa",1
