"","name_searched","taxonomic_status","nomenclatural_status","name_accepted","phy_names","str_order","phy_new_names"
"30","Myrcia carvalhoi","Accepted","Available","Myrcia carvalhoi","myrcia_carvalhoi",30,"myrcia_carvalhoi"
"31","Myrcia basicordata","Accepted","Available","Myrcia basicordata","myrcia_basicordata",31,"myrcia_basicordata"
"32","Myrcia vittoriana","Accepted","Available","Myrcia vittoriana","myrcia_vittoriana",32,"myrcia_vittoriana"
"33","Myrcia grazielae","Accepted","Available","Myrcia grazielae","myrcia_grazielae",33,"myrcia_grazielae"
"34","Myrcia springiana","Accepted","Available","Myrcia springiana","myrcia_springiana",34,"myrcia_springiana"
"35","Myrcia pendulla","not found",NA,"Myrcia pendula","myrcia_pendulla",35,"myrcia_pendula"
"36","Myrcia rosangelae","Accepted","Available","Myrcia rosangelae","myrcia_rosangelae",36,"myrcia_rosangelae"
"37","Myrcia lughadhai","Accepted","Available","Myrcia lughadhai","myrcia_lughadhai",37,"myrcia_lughadhai"
"38","Myrcia serrana","Accepted","Available","Myrcia serrana","myrcia_serrana",38,"myrcia_serrana"
"39","Myrcia variabilis","Accepted","Available","Myrcia variabilis","myrcia_variabilis",39,"myrcia_variabilis"
"40","Myrcia pinifolia","Accepted","Available","Myrcia pinifolia","myrcia_pinifolia",40,"myrcia_pinifolia"
"41","Myrcia cuprea","Accepted","Available","Myrcia cuprea","myrcia_cuprea",41,"myrcia_cuprea"
"42","Myrcia rotundata","Accepted","Available","Myrcia rotundata","myrcia_rotundata",42,"myrcia_rotundata"
"43","Myrcia paracatuensis","Synonym","Available","Myrcia guianensis","myrcia_paracatuensis",43,"myrcia_guianensis"
"44","Myrcia vestita","Accepted","Available","Myrcia vestita","myrcia_vestita",44,"myrcia_vestita"
"45","Myrcia rufipes","Accepted","Available","Myrcia rufipes","myrcia_rufipes",45,"myrcia_rufipes"
"46","Myrcia sp11","not found",NA,NA,"myrcia_sp11",46,"myrcia_sp11"
"47","Myrcia guianensis","Accepted","Available","Myrcia guianensis","myrcia_guianensis",47,"myrcia_guianensis"
"48","Myrcia stricta","Accepted","Available","Myrcia stricta","myrcia_stricta",48,"myrcia_stricta"
"49","Myrcia nivea","Accepted","Available","Myrcia nivea","myrcia_nivea",49,"myrcia_nivea"
"50","Myrcia subverticilaris","not found",NA,"Myrcia subalpestris","myrcia_subverticilaris",50,"myrcia_subalpestris"
"51","Myrcia laxiflora","Accepted","Available","Myrcia laxiflora","myrcia_laxiflora",51,"myrcia_laxiflora"
